chr	start	end	RR	TE	region	CHR	GC	GENE	INTERGENE	INTRON	EXON	SNPs_Una	Pi_Una	SNPs_Itabuna	Pi_Itabuna	SNPs_Tenerife	Pi_Tenerife	tajD_Una	tajD_Itabuna	tajD_Tenerife	piAll	piNWL	Pnonsyn_Una	Psyn_Una	Pnonsyn_Itabuna	Psyn_Itabuna	Pnonsyn_Tenerife	Psyn_Tenerife	Tnonsyn_Una	Tsyn_Una	Tnonsyn_Itabuna	Tsyn_Itabuna	Tnonsyn_Tenerife	Tsyn_Tenerife	TenIta	TenUna	ItaUna	dxy_PQueen_PMale	introgression	dxy_Una_Taiwan	dxy_Itabuna_Leiden
LG1	12000000	12250000	3.709828204	0.118912	LDRs	1	0.413448	0.098056	4876.772727	949.7936508	160.9074074	163	0.000271899	150	0.000180952	54	0.000031837	1.358643306	-0.219156148	-2.526475101	0.000211371	0.000123174	0.00015484	0.00026695	0.00009875	0.00016433	0.00002902	0.00001436	0.58649224	2.25949045	-0.14954752	0.00394272	-3.10179562	-1.65342577	0.91826023	0.89785971	0.04923764	0	no	0.002118	0.002261
LG1	12250000	12500000	3.709828204	0.044248	LDRs	1	0.385524	0.16606	7476.5	381.3602941	259.0697674	135	0.00021158	129	0.000143604	34	0.000024408	0.80365749	-0.694810673	-2.189013554	0.000238187	0.000126407	0.00004603	0.00036267	0.00003517	0.00022956	0	0.00000933	2.0265527	1.26388581	0.64647402	-0.12495301	0	-1.6245626	0.93990446	0.92376648	0.05235952	0	no	0.002008	0.00232
LG1	1250000	1500000	0	0.046	LDRs	1	0.4268	0.102652	4868.44	1167.791209	234.0465116	494	0.000526323	741	0.000594468	54	0.000050382	-0.518304757	-1.513906708	-1.370783761	0.000229001	0.000217074	0.00038429	0.00076421	0.0003787	0.00088373	0.00031781	0.00013409	0.64780406	-0.63867006	-0.51964604	-1.65059479	1.72378302	-0.74670506	0.82020475	0.83842963	0.03583179	0.00058	no	0.001922	0.002334
LG1	12500000	12750000	3.3574336864769	0.035304	LDRs	1	0.428376	0.207676	2427.826087	811.9886364	246.2938596	210	0.00025715	159	0.000168425	74	0.000076097	0.01860501	-0.706137023	-1.484877025	0.000259187	0.000151537	0.00004088	0.00062894	0.00002908	0.00035553	0.00001237	0.00001001	-0.85791632	-0.09288493	-0.23030106	-0.88205216	-2.57448489	-1.48948099	0.90598299	0.87698986	0.04376699	0.00001	no	0.001754	0.001795
LG1	12750000	13000000	20.4549903459094	0.026412	LDRs	1	0.410104	0.234284	1304.034483	629.557377	212.1772152	288	0.000211075	587	0.000508597	57	0.000045438	-1.569577034	-1.35466133	-1.908799471	0.000256195	0.000135015	0.00001643	0.00038314	0.00014969	0.00120483	0.00000214	0	-2.6468477	-2.07150767	-1.78294084	-1.45738222	-1.56510914	0	0.83106035	0.89820433	0.03465022	0.000056	no	0.001928	0.00185
LG1	13000000	13250000	26.7201201184468	0.03494	LDRs	1	0.400132	0.122264	5930.5625	960.8444444	220.1728395	232	0.000151707	723	0.000638031	45	0.000035815	-1.872757652	-1.303561018	-2.014169546	0.000197864	0.0000989422	0.0000361	0.00019155	0.00018749	0.00096735	0.00000396	0.00003327	-1.13146486	-2.40071943	-1.39277017	-1.15851381	-1.58345489	-1.14919823	0.79357095	0.9239156	0.04401811	0.000005	no	0.001824	0.001761
LG1	13250000	13500000	39.1752846198399	0.031056	LDRs	1	0.422092	0.01612	20943.75	2584.548387	106.0526316	271	0.000340291	799	0.000716768	54	0.000048236	0.057581971	-1.212158282	-1.55836509	0.000221541	0.000113102	0.0000894	0	0.00026616	0.00025542	0	0	-1.47861055	0	-2.50195411	-1.92230538	0	0	0.77884775	0.88067923	0.03714188	0.00002	no	0.002102	0.002205
LG1	13500000	13750000	NA	0.077116	LDRs	1	0.414016	0.168248	4991.689655	583.5866667	232.9708738	38	0.000028047	573	0.000428483	63	0.000085733	-1.689302453	-1.724153401	-1.246563493	0.000177315	0.000094348	0.0000031	0	0.00006533	0.00061424	0.00001309	0.00001461	-1.30001128	0	-1.93033995	-1.50988674	-2.2696272	-1.30725824	0.80684477	0.94073634	0.05118234	0.000005	no	0.001763	0.001873
LG1	13750000	13819712	NA	0.619291	TE islands	1	0.484221	0.254849	7071.75	1073	1776.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	no	0.002098	0.001652
LG1	1500000	1750000	2.59602435918959	0.08688	LDRs	1	0.442964	0.052416	10861.63636	2214.145455	231.6712329	350	0.000311264	713	0.000564119	68	0.000069475	-1.088318394	-1.563848435	-1.448130965	0.000185372	0.000158623	0.00007968	0.00034415	0.00030458	0.00092237	0	0.00002456	-2.35745318	-2.43000823	-1.91472886	-1.84252114	0	-1.69144711	0.81302478	0.87641405	0.03253947	0	no	0.001989	0.001969
LG1	1750000	2000000	10.2253394855253	0.029616	LDRs	1	0.429152	0.164504	2229.210526	1389.100629	221.9405941	413	0.000276163	744	0.000504551	53	0.000033495	-1.790884603	-1.915789214	-2.384515898	0.000230816	0.000185175	0.00007171	0.00054822	0.00014377	0.00100727	0.00000271	0	-1.80584629	-1.99410686	-1.75427588	-1.89558223	-1.61682677	0	0.84516339	0.90251923	0.02876262	0.00001	no	0.002118	0.002191
LG1	2000000	2250000	11.40355025	0.045664	LDRs	1	0.403012	0.095616	2376.5	1832.243697	190.9465649	611	0.000509797	813	0.000559824	71	0.000054907	-1.288842435	-1.910716699	-1.963244103	0.000286501	0.00021316	0.0009799	0.00106302	0.00058748	0.00102975	0.00002873	0.0000786	-0.0613151	-0.89369348	-1.60923046	-2.05862464	-0.67230512	-1.23867875	0.84413297	0.85457847	0.03254964	0	no	0.002258	0.002597
LG1	2250000	2500000	8.63606347832354	0.041128	LDRs	1	0.395932	0.164864	2240.944444	914.6702703	197.3130435	261	0.000121863	326	0.000168321	53	0.000042382	-2.448206913	-2.46009579	-1.929621705	0.000285012	0.000225206	0.00003665	0.0002099	0.00008856	0.00038012	0.00004332	0.00001519	-2.53191691	-2.48050366	-2.30392509	-2.49888516	-1.41478049	-1.42032124	0.90945867	0.91752609	0.02362195	0	no	0.001736	0.002253
LG1	250000	500000	0	0.050096	LDRs	1	0.428908	0.112828	2472.454545	1082.054878	151.8465347	596	0.000494167	905	0.000888919	105	0.000091412	-1.283160204	-0.954105437	-1.598746077	0.000204565	0.000107986	0.00019861	0.0010434	0.0003565	0.00207031	0.00002469	0.00005115	-1.27107301	-1.73401149	-1.27758688	-0.88375372	-1.04977288	-1.88934111	0.75632018	0.84497515	0.03908577	0.000003	no	0.002519	0.002653
LG1	2500000	2750000	15.7428347314617	0.042412	LDRs	1	0.343416	0.190168	2901.735294	593.5536723	226.1506276	241	0.000118076	369	0.000226482	37	0.000031382	-2.408951124	-2.197626402	-1.869588613	0.000292615	0.000182828	0.00003249	0.00025611	0.00007574	0.00046735	0	0.00004223	-2.36074528	-2.38560973	-2.29234096	-2.30553358	0	0.54888159	0.91449365	0.93715404	0.02687322	0.000005	no	0.002161	0.002411
LG1	2750000	3000000	18.33849927	0.028828	LDRs	1	0.41686	0.147812	4171	799.8206897	215.3333333	373	0.000172438	212	0.000112165	51	0.000036805	-2.4656012	-2.431368866	-2.161281336	0.000323898	0.000197378	0.00006405	0.00041923	0.00005011	0.00026798	0.00002017	0.00001415	-2.5485955	-2.47507498	-2.40154159	-2.41153558	1.16496613	-1.48948099	0.93710954	0.91307069	0.02722911	0	no	0.002406	0.002632
LG1	3000000	3250000	18.33849927	0.042748	LDRs	1	0.383756	0.234692	1933.7	655.9662921	266.8484848	20	0.000014867	145	0.000075257	35	0.000020417	-1.728926956	-2.429955694	-2.572673445	0.000251566	0.00020077	0.00001197	0	0.00001184	0.00032682	0	0.0000432	-1.4398929	0	-1.6264698	-1.98257103	0	1.10301411	0.93621197	0.96779185	0.02449129	0	no	0.001797	0.001489
LG1	3250000	3500000	18.33849927	0.040232	LDRs	1	0.427864	0.116	1184.857143	1731.798507	190.8218391	32	0.000022688	351	0.000209224	56	0.000038051	-1.806310393	-2.20861366	-2.276338513	0.00031664	0.000245987	0.00000429	0	0.00011693	0.00119627	0	0	-1.30672806	0	-2.06427831	-1.90904528	0	0	0.90036509	0.95381335	0.033164	0	no	0.001932	0.002018
LG1	3500000	3750000	9.87404313462339	0.057104	LDRs	1	0.379588	0.199704	1749.454545	842.2511416	189.4864865	125	0.000096327	63	0.000073103	84	0.000091422	-1.519004899	-0.606877526	-0.974593238	0.000219001	0.000135146	0.00001804	0.00008963	0.00000409	0.00004307	0.00007487	0.00026438	-2.55771333	-1.74195535	-2.21814428	0.94649432	-0.85535279	0.80235145	0.93894481	0.91931534	0.02869077	0.000091	no	0.001778	0.001992
LG1	3750000	4000000	0	0.433216	TE islands	1	0.382056	0.134488	6992.296296	404.0642857	204.3709677	298	0.00028019	266	0.000275297	748	0.000676777	-1.054185565	-0.828686429	-1.564826262	0.000183702	0.000108551	0.00007428	0.0001074	0.00007122	0.00012916	0.00017095	0.00014652	-0.75792862	-0.57723309	-1.64912164	-1.58108553	-1.58982018	-1.5053813	0.62303143	0.61595262	0.03009542	0.000096	no	0.001662	0.001822
LG1	4000000	4250000	0	0.786728	TE islands	1	0.38284	0.057008	11542.4	463.6585366	213.9705882	1107	0.001767414	874	0.001523825	3222	0.008749202	-0.70697135	-0.440537819	-0.455548079	0.000124787	0.0000839726	0.00035611	0.0007055	0.00039634	0.00048526	0.00519243	0.01707813	-1.86540055	-2.15872211	-0.81928	-0.7715764	-0.39789477	-0.2018065	0.33873914	0.33214118	0.02285847	0.000031	no	0.003869	0.002889
LG1	4250000	4500000	0	0.432524	TE islands	1	0.383068	0.094288	12140.375	595.5344828	180.4468085	981	0.001282906	794	0.001294165	2285	0.005530551	-0.885709435	-0.542866461	-0.461021595	0.0000926485	0.000059233	0.00008745	0.00012584	0.00009997	0	0.00008219	0.00007912	-1.15964267	-2.47427569	0.33862266	0	-0.85143279	0.11792591	0.51466974	0.49860244	0.02819616	0.000064	no	0.001761	0.001722
LG1	4500000	4750000	1.5644998488395	0.036944	LDRs	1	0.426956	0.02102	NA	6646	134.7435897	167	0.000225945	119	0.000197097	58	0.000056378	0.281648934	1.006019329	-1.372707736	0.000150113	0.0000885074	0.00023844	0.00006473	0.00007204	0.00019852	0.00004929	0.00027976	-1.05885369	-1.35105103	-1.7055428	-1.953527	-1.03624272	-0.27965455	0.91109413	0.89108076	0.05822161	0.000204	no	0.001657	0.00184
LG1	4750000	5000000	10.4398801977966	0.035808	LDRs	1	0.383768	0.18042	6901.36	668.8604651	282.4361702	127	0.000077001	32	0.000026846	30	0.000022729	-1.999046558	-1.472632996	-1.976284679	0.0001923	0.0000938554	0.00001373	0.00008369	0	0.00001615	0.00000476	0.00001	-2.4580179	-2.29199514	0	-2.21564688	-1.31035747	-1.55546141	0.97395257	0.94511071	0.03433071	0	no	0.001898	0.002019
LG1	500000	750000	10.3758169936753	0.053696	LDRs	1	0.394244	0.114288	4452.166667	780.6311475	201.4972973	490	0.000424057	740	0.000852409	54	0.000041823	-1.221597454	-0.508375601	-1.999954712	0.000241162	0.000165537	0.00016985	0.00037042	0.00032972	0.0013267	0	0	-1.1963437	-1.97025023	-0.56328817	-0.54823042	0	0	0.71726199	0.83661628	0.05034298	0.001355	yes	0.001644	0.001981
LG1	5000000	5250000	12.55804981	0.051976	LDRs	1	0.46444	0.031788	15880.64286	711.1714286	165.5625	260	0.000226738	179	0.000127346	84	0.000092378	-1.112621158	-1.766850437	-0.900924065	0.000151129	0.0000856522	0.00011574	0.00006065	0.00005013	0.0001594	0.00002465	0	-0.69214065	-1.12528897	-1.59178328	-0.16476753	-2.56114573	0	0.92479215	0.8977334	0.03226161	0.000005	no	0.002005	0.002214
LG1	5250000	5500000	12.55804981	0.0211	LDRs	1	0.436128	0.057148	10073.0625	1554.526316	194.972973	74	0.000076385	56	0.000031207	92	0.000088453	-0.636061861	-2.308066241	-1.388876137	0.00018338	0.000100116	0.00003864	0.0000804	0	0.0000918	0.00019742	0.00038916	-1.14204392	-0.46946362	0	-1.584863	-0.19739518	1.01060521	0.95151683	0.9396357	0.04516681	0	no	0.001971	0.002165
LG1	5500000	5750000	12.55804981	0.091576	LDRs	1	0.420304	0.098748	4074.272727	1408.272727	204.15625	91	0.000049999	27	0.000020134	51	0.000039308	-2.210266351	-1.878923568	-1.957082162	0.000201057	0.000100392	0.0000089	0.00012305	0.00000473	0	0.00001769	0.00001755	-2.06396042	-2.39371236	-1.4025381	0	-1.64213548	-1.56510914	0.96878806	0.95353911	0.02889281	0.000002	no	0.001927	0.002137
LG1	5750000	6000000	9.34999969176639	0.016244	LDRs	1	0.495428	0.043128	6975.136364	1618.407407	140.0769231	216	0.00009948	99	0.000060287	73	0.000057423	-2.430163682	-2.171301388	-1.874482571	0.000227662	0.000117507	0.00012777	0.00010281	0.00001491	0	0.00001083	0.00013331	-2.66773262	-2.39305775	-1.32085956	0	-1.61682677	-2.61833352	0.92493316	0.89676898	0.02762803	0.000002	no	0.001767	0.001989
LG1	6000000	6250000	0	0.039288	LDRs	1	0.389732	0.242544	2185.533333	421.1255411	222.8504673	200	0.00009223	35	0.000019548	29	0.000021483	-2.449372478	-2.375481727	-2.02445982	0.000172961	0.0000865509	0.00003252	0.0001794	0.00000612	0	0.00000266	0	-2.33949675	-2.3926142	-1.84645738	0	-1.44990575	0	0.97323895	0.93485018	0.03657761	0	no	0.0017	0.001669
LG1	6250000	6500000	0.247306461680083	0.032396	LDRs	1	0.43026	0.073592	6333.133333	1503.652632	167.272	143	0.000066426	31	0.000025098	120	0.000109014	-2.451890377	-1.680141071	-1.515723188	0.00017771	0.0000907537	0.00003734	0.00017042	0.00002722	0	0.00020771	0.00005118	-0.56831395	-2.38785404	0.34111246	0	-1.63659661	-0.98524799	0.94025495	0.91728785	0.03124163	0.000005	no	0.001792	0.001927
LG1	6500000	6750000	0	0.039276	LDRs	1	0.430724	0.032776	NA	5757.531915	173.3125	60	0.000031081	27	0.00002841	47	0.000037686	-2.264786397	-0.801833372	-1.890531643	0.00012229	0.0000624494	0.00001655	0.00005619	0.0000799	0	0.00013543	0	-1.16778441	-1.16126255	-0.50107642	0	-1.5232943	0	0.95259762	0.93507596	0.02726008	0	no	0.001413	0.001494
LG1	6750000	7000000	0	0.02426	LDRs	1	0.411036	0.138824	2852.3125	1358.257353	220.078125	99	0.000050601	17	0.000010061	40	0.000031164	-2.356224692	-2.238058986	-1.930866555	0.000157049	0.0000795653	0.00000391	0.00002167	0	0.00001852	0.00000411	0	-1.28558566	-2.08766453	0	-1.02179837	-1.51319574	0	0.96768289	0.94544079	0.03134882	0	no	0.00154	0.001814
LG1	7000000	7250000	0	0.044972	LDRs	1	0.393604	0.259156	2194.697674	424.5635593	238.3602484	115	0.000050454	26	0.000018133	65	0.000063143	-2.51265062	-1.935032395	-1.393717155	0.000195542	0.0000983193	0.00001177	0.00015269	0.00000755	0.00000836	0.00000555	0	-2.53332474	-2.52776804	-1.34772249	-1.32085956	-2.10139978	0	0.96211602	0.9420901	0.0306196	0.000003	no	0.001961	0.00218
LG1	7250000	7500000	0	0.04212	LDRs	1	0.394728	0.105628	6131.125	734.2358491	198.3732394	84	0.00004234	23	0.000019978	73	0.000080956	-2.371006306	-1.668806795	-0.984884159	0.00021938	0.000108044	0.00000775	0.00002818	0.00000632	0	0.00003897	0	-2.10381317	-2.03510919	-1.28767395	0	-2.17522622	0	0.96603785	0.94447392	0.03232306	0.000002	no	0.002004	0.002176
LG1	750000	1000000	20.6915303929544	0.055168	LDRs	1	0.424608	0.03212	6322.2	4072.211538	162.4310345	952	0.000985738	915	0.000827347	87	0.000110267	-0.685999107	-1.243072075	-0.656232813	0.000287807	0.000226073	0.00030436	0.00198997	0.00017858	0.00180833	0.00004473	0	-0.70131804	-0.42305121	-1.75650285	-0.88781803	-0.98978256	0	0.75551477	0.72270536	0.03964873	0.002216	yes	0.001769	0.002578
LG1	7500000	7750000	0	0.03232	LDRs	1	0.40658	0.1701	4661.73913	671.0967742	253.0896226	104	0.000047984	23	0.000017635	43	0.000031723	-2.47555533	-1.874677331	-2.155902149	0.000236421	0.000118827	0.00000993	0.00007677	0	0	0.00000597	0	-2.5920447	-2.65428159	0	0	-2.38170941	0	0.96897947	0.94566234	0.0326756	0	no	0.001953	0.002109
LG1	7750000	8000000	0	0.042312	LDRs	1	0.406936	0.145412	4830.586207	527.496732	196.815	94	0.000049584	27	0.000019831	45	0.000037504	-2.26520923	-1.84619799	-1.81631922	0.000187243	0.000096551	0.000011	0.00006967	0.00001193	0	0.00002714	0.00003605	-2.27374684	-2.02549436	-2.33828071	0	-2.4216622	-0.3382828	0.9631052	0.9384192	0.0312015	0.000008	no	0.001873	0.00204
LG1	8000000	8250000	0	0.055424	LDRs	1	0.42028	0.058372	7717.714286	2207.391753	138.2342342	110	0.000057399	42	0.00003747	89	0.000095766	-2.290413117	-1.418084341	-1.121431639	0.000209792	0.000111537	0.00006798	0	0.00004572	0	0.00000685	0	-1.07231665	0	-1.61601336	0	-1.66016935	0	0.93648467	0.91896408	0.02941172	0	no	0.001989	0.002135
LG1	8250000	8500000	0	0.092056	LDRs	1	0.412388	0.1048	5176.473684	1234.622642	214.0928571	102	0.000101994	56	0.000084885	140	0.000274928	-1.559286265	-0.868491423	-0.569731249	0.000162944	0.0000804206	0.00002632	0	0.00000433	0	0.00000875	0.00006291	-2.25167671	0	-1.43239401	0	-2.48626177	0.02549691	0.92486307	0.9084399	0.0267801	0.000011	no	0.001806	0.001998
LG1	8500000	8750000	0	0.024468	LDRs	1	0.412076	0.1466	5025.208333	635.239726	224.3756614	64	0.000037243	24	0.00002265	35	0.000022081	-2.0890098	-1.179753439	-2.445536471	0.000139509	0.0000753914	0	0	0	0	0.00000443	0	0	0	0	0	-1.44990575	0	0.96001842	0.93999634	0.02616553	0.000005	no	0.001618	0.001414
LG1	8750000	9000000	0	0.026112	LDRs	1	0.456332	0.115188	5743.8	857.9405941	252.057971	66	0.00003803	46	0.000034198	65	0.000050908	-2.135918625	-1.747838452	-2.101855843	0.0000463306	0.000024029	0.00000658	0.00003612	0.00000807	0.00007024	0.00001301	0.00004539	-2.13345677	-2.43455892	-2.160958	-0.6958966	-1.84956118	-3.10617838	0.91831092	0.9000839	0.0232123	0.000002	no	0.000714	0.000764
LG1	9000000	9250000	0	0.01896	LDRs	1	0.44204	0.123604	5105.227273	1141.211538	338.4459459	61	0.000037097	27	0.000019773	52	0.00004005	-1.998321184	-1.871041529	-1.910090759	0.0000630646	0.0000347971	0.00000414	0.0000902	0	0.00000991	0.00001529	0	-1.30001128	-2.1137647	0	-1.47900673	-2.90552203	0	0.96076768	0.94336756	0.02674886	0	no	0.001049	0.001156
LG1	9250000	9500000	0	0.095392	LDRs	1	0.428624	0.168016	3656.882353	500.2834225	191.8256579	68	0.000030343	23	0.00001113	46	0.00003276	-2.485063861	-2.563731006	-2.130222338	0.000118968	0.0000567537	0.0000186	0.00005279	0.00000768	0.0000133	0.00001022	0	-2.18985328	-2.18394757	-2.54021068	-1.29932949	0.00745444	0	0.96266905	0.94245114	0.03037775	0	no	0.00147	0.001691
LG1	9500000	9750000	0	0.03054	LDRs	1	0.406052	0.060188	12182.2	2236.442623	216.5949367	69	0.000037507	53	0.000034309	234	0.000402267	-2.273150869	-2.139846002	1.35572541	0.000118016	0.0000498118	0.00016256	0.00019879	0.00028352	0.00013764	0.0068052	0.00394558	-2.47091666	-2.4206071	-2.34986871	-2.4160736	2.16001062	2.14381142	0.79562841	0.78772049	0.02963159	0	no	0.001185	0.001374
LG1	9750000	10000000	0.212755002929356	0.046912	LDRs	1	0.372152	0.082772	8330.1875	936.9363636	165.0903226	81	0.000049112	32	0.000026775	51	0.000038191	-2.107203143	-1.542683971	-2.09161013	0.000165162	0.0000815511	0.00001255	0	0	0.00002137	0.00001891	0	-0.82746566	0	0	-1.38890778	-0.24054771	0	0.96375779	0.94338424	0.02998968	0.000005	no	0.001266	0.001434
LG10	0	250000	0	0.681556	TE islands	10	0.40052	0.046516	9621.541667	212.3333333	192.015873	668	0.000646006	451	0.000575589	685	0.001736813	-1.6959376	-1.158070238	-0.61692477	0.000081897	0.0000397103	0.00017555	0.00018174	0	0	0.00129601	0.00066896	-1.92863818	-0.97628003	0	0	0.40552535	0.81275949	0.68064415	0.64359774	0.02660834	0.001922	yes	0.004159	0.004273
LG10	1000000	1250000	0	0.0431	LDRs	10	0.431892	0.024836	15537.6	3656.425532	121.8888889	428	0.000292062	108	0.00009441	63	0.000081648	-1.752240322	-1.298094775	-0.774815256	0.000197065	0.000105044	0.0001236	0	0	0	0.00004402	0	-2.35101888	0	0	0	-1.21086983	0	0.94129983	0.87552818	0.04343889	0.002978	yes	0.002171	0.002506
LG10	1250000	1500000	0	0.05004	LDRs	10	0.415888	0.110828	7365.066667	1103.652542	204.3191489	449	0.000264001	65	0.000049448	58	0.000075505	-2.046351444	-1.675211178	-0.991529905	0.00022451	0.000117015	0.00004975	0.00027377	0.00000392	0	0.00000304	0.00001479	-2.62932376	-2.40174872	-1.42684823	0	-1.71921776	-1.60065312	0.95842128	0.89524994	0.04705285	0.003385	yes	0.002406	0.002644
LG10	1500000	1750000	0	0.03378	LDRs	10	0.412904	0.039156	8123	3255.116667	159.76	495	0.000406327	169	0.000283137	83	0.000066141	-1.306226871	1.201382176	-1.917359632	0.000275582	0.000157232	0.00022521	0.00053306	0.00001329	0.00024541	0	0	-2.30250979	-2.01037781	-1.38890778	1.16665031	0	0	0.90001892	0.8580704	0.04633906	0.003145	yes	0.002318	0.002515
LG10	1750000	2000000	0	0.04408	LDRs	10	0.372904	0.081308	9523.1	1584.494624	199.412844	441	0.000331328	111	0.00018925	31	0.000021408	-1.552063014	1.203194755	-2.409101899	0.000256744	0.000143421	0.00005284	0.0008975	0.00005703	0.00061421	0.00001847	0	0.89430915	-0.86343514	-0.19057519	1.54917847	-2.74152567	0	0.93291311	0.88401841	0.0372756	0.003242	yes	0.002294	0.00244
LG10	2000000	2250000	0	0.055396	LDRs	10	0.42488	0.064644	6455.25	2104.422535	182.8947368	504	0.000467072	204	0.000337594	52	0.000036414	-1.01075664	1.076218714	-2.247002389	0.000269081	0.000159014	0.00016573	0.00082517	0.00007638	0.00023648	0.00005174	0.00017374	-1.58105071	-1.52056718	1.47718356	0.86087121	-1.59971917	-1.46680536	0.88798723	0.84279866	0.03639115	0.002869	yes	0.002181	0.002296
LG10	2250000	2500000	0	0.058348	LDRs	10	0.438288	0.06344	10830.29412	934.3088235	185.1888889	440	0.000295787	83	0.000068764	93	0.0000871	-1.771411529	-1.495433088	-1.482941789	0.000235445	0.000120696	0.00014215	0.00046684	0	0.00004807	0	0.00010582	-1.39000985	-1.73322806	0	-1.16450977	0	0.21678109	0.9251999	0.85190799	0.06368147	0.002454	yes	0.001802	0.002029
