chr	start	end	RR	TE	region	CHR	GENE	GC	Pi_Una	Pi_Itabuna	tajD_Una	tajD_Itabuna	pi_indels	Pi_nonsyn_Una	Pi_syn_Una	Pi_nonsyn_Itabuna	Pi_syn_Itabuna	Pi_nonsyn_Tenerife	Pi_syn_Tenerife	Fst_Tenerife_Itabuna	Fst_Tenerife_Una	dxy_PQueen_PMale	dxy_Una_Taiwan	dxy_Itabuna_Leiden	introgression
LG1	4500000	4750000	1.5644998488395	0.036944	LDRs	1	0.02102	0.426956	0.000225945	0.000197097	0.281648934	1.006019329	0.000150113	0.00023844	0.00006473	0.00007204	0.00019852	0.00004929	0.00027976	0.91109413	0.89108076	0.000204	0.001657	0.00184	no
LG1	4750000	5000000	10.4398801977966	0.035808	LDRs	1	0.18042	0.383768	0.000077001	0.000026846	-1.999046558	-1.472632996	0.0001923	0.00001373	0.00008369	0	0.00001615	0.00000476	0.00001	0.97395257	0.94511071	0	0.001898	0.002019	no
LG1	500000	750000	10.3758169936753	0.053696	LDRs	1	0.114288	0.394244	0.000424057	0.000852409	-1.221597454	-0.508375601	0.000241162	0.00016985	0.00037042	0.00032972	0.0013267	0	0	0.71726199	0.83661628	0.001355	0.001644	0.001981	yes
LG1	5000000	5250000	12.55804981	0.051976	LDRs	1	0.031788	0.46444	0.000226738	0.000127346	-1.112621158	-1.766850437	0.000151129	0.00011574	0.00006065	0.00005013	0.0001594	0.00002465	0	0.92479215	0.8977334	0.000005	0.002005	0.002214	no
LG1	5250000	5500000	12.55804981	0.0211	LDRs	1	0.057148	0.436128	0.000076385	0.000031207	-0.636061861	-2.308066241	0.00018338	0.00003864	0.0000804	0	0.0000918	0.00019742	0.00038916	0.95151683	0.9396357	0	0.001971	0.002165	no
LG1	5500000	5750000	12.55804981	0.091576	LDRs	1	0.098748	0.420304	0.000049999	0.000020134	-2.210266351	-1.878923568	0.000201057	0.0000089	0.00012305	0.00000473	0	0.00001769	0.00001755	0.96878806	0.95353911	0.000002	0.001927	0.002137	no
LG1	5750000	6000000	9.34999969176639	0.016244	LDRs	1	0.043128	0.495428	0.00009948	0.000060287	-2.430163682	-2.171301388	0.000227662	0.00012777	0.00010281	0.00001491	0	0.00001083	0.00013331	0.92493316	0.89676898	0.000002	0.001767	0.001989	no
LG1	6000000	6250000	0	0.039288	LDRs	1	0.242544	0.389732	0.00009223	0.000019548	-2.449372478	-2.375481727	0.000172961	0.00003252	0.0001794	0.00000612	0	0.00000266	0	0.97323895	0.93485018	0	0.0017	0.001669	no
LG1	6250000	6500000	0.247306461680083	0.032396	LDRs	1	0.073592	0.43026	0.000066426	0.000025098	-2.451890377	-1.680141071	0.00017771	0.00003734	0.00017042	0.00002722	0	0.00020771	0.00005118	0.94025495	0.91728785	0.000005	0.001792	0.001927	no
LG1	6500000	6750000	0	0.039276	LDRs	1	0.032776	0.430724	0.000031081	0.00002841	-2.264786397	-0.801833372	0.00012229	0.00001655	0.00005619	0.0000799	0	0.00013543	0	0.95259762	0.93507596	0	0.001413	0.001494	no
LG1	6750000	7000000	0	0.02426	LDRs	1	0.138824	0.411036	0.000050601	0.000010061	-2.356224692	-2.238058986	0.000157049	0.00000391	0.00002167	0	0.00001852	0.00000411	0	0.96768289	0.94544079	0	0.00154	0.001814	no
LG1	7000000	7250000	0	0.044972	LDRs	1	0.259156	0.393604	0.000050454	0.000018133	-2.51265062	-1.935032395	0.000195542	0.00001177	0.00015269	0.00000755	0.00000836	0.00000555	0	0.96211602	0.9420901	0.000003	0.001961	0.00218	no
LG1	7250000	7500000	0	0.04212	LDRs	1	0.105628	0.394728	0.00004234	0.000019978	-2.371006306	-1.668806795	0.00021938	0.00000775	0.00002818	0.00000632	0	0.00003897	0	0.96603785	0.94447392	0.000002	0.002004	0.002176	no
LG1	750000	1000000	20.6915303929544	0.055168	LDRs	1	0.03212	0.424608	0.000985738	0.000827347	-0.685999107	-1.243072075	0.000287807	0.00030436	0.00198997	0.00017858	0.00180833	0.00004473	0	0.75551477	0.72270536	0.002216	0.001769	0.002578	yes
LG1	7500000	7750000	0	0.03232	LDRs	1	0.1701	0.40658	0.000047984	0.000017635	-2.47555533	-1.874677331	0.000236421	0.00000993	0.00007677	0	0	0.00000597	0	0.96897947	0.94566234	0	0.001953	0.002109	no
LG1	7750000	8000000	0	0.042312	LDRs	1	0.145412	0.406936	0.000049584	0.000019831	-2.26520923	-1.84619799	0.000187243	0.000011	0.00006967	0.00001193	0	0.00002714	0.00003605	0.9631052	0.9384192	0.000008	0.001873	0.00204	no
LG1	8000000	8250000	0	0.055424	LDRs	1	0.058372	0.42028	0.000057399	0.00003747	-2.290413117	-1.418084341	0.000209792	0.00006798	0	0.00004572	0	0.00000685	0	0.93648467	0.91896408	0	0.001989	0.002135	no
LG1	8250000	8500000	0	0.092056	LDRs	1	0.1048	0.412388	0.000101994	0.000084885	-1.559286265	-0.868491423	0.000162944	0.00002632	0	0.00000433	0	0.00000875	0.00006291	0.92486307	0.9084399	0.000011	0.001806	0.001998	no
LG1	8500000	8750000	0	0.024468	LDRs	1	0.1466	0.412076	0.000037243	0.00002265	-2.0890098	-1.179753439	0.000139509	0	0	0	0	0.00000443	0	0.96001842	0.93999634	0.000005	0.001618	0.001414	no
LG1	8750000	9000000	0	0.026112	LDRs	1	0.115188	0.456332	0.00003803	0.000034198	-2.135918625	-1.747838452	0.0000463306	0.00000658	0.00003612	0.00000807	0.00007024	0.00001301	0.00004539	0.91831092	0.9000839	0.000002	0.000714	0.000764	no
LG1	9000000	9250000	0	0.01896	LDRs	1	0.123604	0.44204	0.000037097	0.000019773	-1.998321184	-1.871041529	0.0000630646	0.00000414	0.0000902	0	0.00000991	0.00001529	0	0.96076768	0.94336756	0	0.001049	0.001156	no
LG1	9250000	9500000	0	0.095392	LDRs	1	0.168016	0.428624	0.000030343	0.00001113	-2.485063861	-2.563731006	0.000118968	0.0000186	0.00005279	0.00000768	0.0000133	0.00001022	0	0.96266905	0.94245114	0	0.00147	0.001691	no
LG1	9500000	9750000	0	0.03054	LDRs	1	0.060188	0.406052	0.000037507	0.000034309	-2.273150869	-2.139846002	0.000118016	0.00016256	0.00019879	0.00028352	0.00013764	0.0068052	0.00394558	0.79562841	0.78772049	0	0.001185	0.001374	no
LG1	9750000	10000000	0.212755002929356	0.046912	LDRs	1	0.082772	0.372152	0.000049112	0.000026775	-2.107203143	-1.542683971	0.000165162	0.00001255	0	0	0.00002137	0.00001891	0	0.96375779	0.94338424	0.000005	0.001266	0.001434	no
LG10	0	250000	0	0.681556	TE islands	10	0.046516	0.40052	0.000646006	0.000575589	-1.6959376	-1.158070238	0.000081897	0.00017555	0.00018174	0	0	0.00129601	0.00066896	0.68064415	0.64359774	0.001922	0.004159	0.004273	yes
LG10	1000000	1250000	0	0.0431	LDRs	10	0.024836	0.431892	0.000292062	0.00009441	-1.752240322	-1.298094775	0.000197065	0.0001236	0	0	0	0.00004402	0	0.94129983	0.87552818	0.002978	0.002171	0.002506	yes
LG10	1250000	1500000	0	0.05004	LDRs	10	0.110828	0.415888	0.000264001	0.000049448	-2.046351444	-1.675211178	0.00022451	0.00004975	0.00027377	0.00000392	0	0.00000304	0.00001479	0.95842128	0.89524994	0.003385	0.002406	0.002644	yes
LG10	1500000	1750000	0	0.03378	LDRs	10	0.039156	0.412904	0.000406327	0.000283137	-1.306226871	1.201382176	0.000275582	0.00022521	0.00053306	0.00001329	0.00024541	0	0	0.90001892	0.8580704	0.003145	0.002318	0.002515	yes
LG10	1750000	2000000	0	0.04408	LDRs	10	0.081308	0.372904	0.000331328	0.00018925	-1.552063014	1.203194755	0.000256744	0.00005284	0.0008975	0.00005703	0.00061421	0.00001847	0	0.93291311	0.88401841	0.003242	0.002294	0.00244	yes
LG10	2000000	2250000	0	0.055396	LDRs	10	0.064644	0.42488	0.000467072	0.000337594	-1.01075664	1.076218714	0.000269081	0.00016573	0.00082517	0.00007638	0.00023648	0.00005174	0.00017374	0.88798723	0.84279866	0.002869	0.002181	0.002296	yes
LG10	2250000	2500000	0	0.058348	LDRs	10	0.06344	0.438288	0.000295787	0.000068764	-1.771411529	-1.495433088	0.000235445	0.00014215	0.00046684	0	0.00004807	0	0.00010582	0.9251999	0.85190799	0.002454	0.001802	0.002029	yes
LG10	250000	500000	0	0.668036	TE islands	10	0.090396	0.372092	0.00032946	0.000238897	-1.758364783	-1.135702765	0.0000686453	0.00027181	0.00017729	0.00035038	0.00026881	0.00091465	0.00168437	0.5352556	0.50790635	0.001944	0.002613	0.002383	yes
LG10	2500000	2750000	0	0.016308	LDRs	10	0.15224	0.412948	0.000198566	0.000035379	-2.187531549	-1.811640183	0.000202105	0.00004269	0.00039886	0.00001454	0	0	0	0.96928354	0.91183018	0.002846	0.001966	0.002326	yes
LG10	2750000	3000000	0	0.037328	LDRs	10	0.116156	0.436848	0.000450388	0.000302063	-1.094539036	0.583721566	0.000260582	0.00012289	0.0004635	0.00004937	0.00011286	0.00000553	0.00007933	0.89698484	0.84613927	0.002954	0.002107	0.002335	yes
LG10	3000000	3250000	0	0.026316	LDRs	10	0.142408	0.45678	0.000308121	0.000180163	-1.859571739	-1.00738674	0.000257526	0.00014338	0.0005987	0.00008779	0.00017942	0.00000376	0	0.91119432	0.86418224	0.00224	0.001751	0.001886	yes
LG10	3250000	3500000	0	0.03822	LDRs	10	0.107416	0.439	0.000303541	0.000242531	-1.185906927	1.241691527	0.000265662	0.00012519	0.00018049	0.00010997	0	0.00002871	0.0000237	0.88139766	0.84546554	0.002098	0.001624	0.001715	yes
LG10	3500000	3750000	0	0.041288	LDRs	10	0.178336	0.414148	0.000422104	0.000223095	-1.359563835	-0.459390666	0.000344165	0.00017248	0.00076191	0.00008741	0.00045725	0.0000101	0.00008697	0.90992013	0.85047126	0.003191	0.002266	0.00244	yes
LG10	3750000	4000000	0	0.02628	LDRs	10	0.259276	0.382524	0.000350505	0.00019785	-1.387001321	-0.431025655	0.000323463	0.00004757	0.000779	0.00001384	0.00055516	0.00000376	0.00003259	0.92310938	0.87016011	0.003016	0.002114	0.002195	yes
LG10	4000000	4250000	0	0.502568	TE islands	10	0.067152	0.41132	0.000312604	0.000177792	-1.752201416	-1.473090292	0.000103969	0.00004276	0.00024295	0.00003372	0.00010716	0.00027396	0.00156636	0.63665854	0.61917182	0.001738	0.002282	0.0023	yes
LG10	4250000	4500000	0	0.618828	TE islands	10	0.04114	0.394432	0.000424856	0.000237962	-1.712743709	-1.375642754	0.0000907427	0.00027198	0.00145724	0.00022691	0.00066846	0.00044259	0.00105131	0.78208773	0.72480862	0.002206	0.002503	0.002632	yes
LG10	4500000	4750000	0	0.595256	TE islands	10	0.078656	0.349136	0.002176812	0.002000567	-0.907733082	-0.765050461	0.00011513	0.00031855	0.00038522	0.00074345	0.00010853	0.00064431	0.00114238	0.70967368	0.67081908	0.003465	0.003027	0.003197	yes
LG10	4750000	5000000	4.06191230951636	0.078184	LDRs	10	0.120352	0.385456	0.00015684	0.00001574	-2.466101678	-2.2405316	0.000241122	0.00005406	0.00019294	0.00000758	0.0000443	0.00000885	0	0.97533505	0.92669097	0.002206	0.002383	0.002613	yes
LG10	500000	750000	0	0.735356	TE islands	10	0.019956	0.401236	0.000299605	0.000224286	-1.971615164	-2.03203819	0.0000961397	0.00022579	0.00031692	0	0	0	0	0.62761749	0.60107813	0.001522	0.004552	0.004407	yes
LG10	5000000	5250000	19.5816792	0.033324	LDRs	10	0.049152	0.38782	0.000080773	0.000021081	-2.289723057	-1.816102835	0.000270598	0.00004886	0.00021988	0	0.00014519	0.00001236	0	0.96916066	0.940278	0.000005	0.002008	0.00229	no
LG10	5250000	5500000	19.5816792	0.04914	LDRs	10	0.045592	0.425056	0.000039254	0.000029289	-2.447319834	-2.132247318	0.000277212	0.00004684	0.00004949	0.00004356	0	0.00003307	0.00004235	0.943196	0.93377147	0.000005	0.002046	0.002364	no
LG10	5500000	5750000	19.5816792	0.092336	LDRs	10	0.082916	0.388256	0.000066737	0.000060512	-0.763145359	-0.682848703	0.000270428	0.00002131	0	0.00003466	0.00004695	0.00008745	0	0.95414	0.94911816	0	0.00243	0.002747	no
LG10	5750000	6000000	19.5816792	0.015536	LDRs	10	0.078752	0.399824	0.000026798	0.00002367	-1.768191236	-1.737181451	0.000264445	0	0.00003089	0.00001037	0.00002666	0.00001562	0	0.96436805	0.9637139	0	0.00209	0.002307	no
LG10	6000000	6250000	19.4855338202146	0.037052	LDRs	10	0.058648	0.416856	0.000174714	0.000132362	0.954473097	-0.339365712	0.000293452	0.00024435	0.00061672	0.00016372	0.00039673	0.00010464	0	0.91133995	0.90083639	0.000005	0.001767	0.001922	no
LG10	6250000	6500000	17.4276482499873	0.047464	LDRs	10	0.15124	0.417044	0.000192816	0.00018559	-0.765284229	-0.056620009	0.000315263	0.00004161	0.00038514	0.00003672	0.00038745	0.00001418	0	0.90856152	0.90284767	0.000832	0.00204	0.002348	no
LG10	6500000	6750000	18.67593997066	0.066324	LDRs	10	0.209128	0.40476	0.000189388	0.000112682	-1.986963673	-1.186182394	0.000339052	0.00005299	0.00026184	0.00002679	0.00001806	0.000005	0	0.94861894	0.91515779	0.001998	0.00204	0.002935	yes
LG10	6750000	7000000	7.37772009680299	0.114508	LDRs	10	0.282532	0.371152	0.000164072	0.000078416	-1.808274884	-0.68350216	0.000351237	0.00003664	0.00020323	0.00002446	0.00003938	0.00012085	0.00022964	0.91594691	0.88414442	0.001302	0.002016	0.002577	yes
LG10	7000000	7250000	20.5260538770142	0.093004	LDRs	10	0.238832	0.379768	0.000633292	0.00057976	2.046042938	1.339051104	0.000337672	0.00013741	0.00104775	0.00012728	0.00091369	0.00000237	0.00001119	0.84022616	0.82625322	0.000074	0.002227	0.002514	no
LG10	7250000	7382929	NA	0.072595	LDRs	10	0.261267	0.425272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68985951	0.67402935	0	0.00101	0.00113	no
LG10	750000	1000000	0	0.106176	TE islands	10	0.25868	0.412168	0.000247171	0.000138513	-1.961009019	-1.229318738	0.000169122	0.00007429	0.00031907	0.00002415	0.00004983	0.00003547	0.0001953	0.90285135	0.85316748	0.002185	0.001455	0.00166	yes
LG11	0	250000	11.0498982466752	0.114624	LDRs	11	0.119936	0.373672	0.00156699	0.001219214	1.022149276	0.008819791	0.000156953	0.00055046	0.00096394	0.00043912	0.00070504	0	0.00003063	0.56820659	0.44730422	0.001724	0.000814	0.002032	yes
LG11	1000000	1250000	1.978279937	0.134652	LDRs	11	0.128688	0.403032	0.00163449	0.001670361	1.648088624	1.592720402	0.000232058	0.00038755	0.00232869	0.00037625	0.00224267	0.00000608	0	0.50532183	0.50834427	0	0.000783	0.002116	no
LG11	1250000	1500000	1.978279937	0.051388	LDRs	11	0.053036	0.441748	0.001403468	0.001490251	1.485804838	1.715756785	0.000217524	0.00073047	0.00479903	0.00077851	0.00526871	0.00001538	0	0.46708678	0.49555484	0	0.000876	0.001831	no
LG11	1500000	1750000	1.978279937	0.0357	LDRs	11	0.126424	0.4067	0.001967529	0.001959176	1.481927082	1.926890567	0.000246283	0.0005043	0.00400476	0.00054386	0.00404047	0.00000429	0	0.46823285	0.48838981	0	0.001147	0.002377	no
LG11	1750000	2000000	1.978279937	0.03722	LDRs	11	0.08294	0.420644	0.002090249	0.002146983	1.382161336	1.949624833	0.000265115	0.00067441	0.00305061	0.00076673	0.0032406	0.00001201	0	0.44610189	0.48051955	0	0.000961	0.002317	no
LG11	2000000	2250000	1.978279937	0.046744	LDRs	11	0.128432	0.43634	0.002033943	0.002200711	1.594933068	1.950873559	0.000272914	0.00100757	0.00471557	0.00101902	0.00514284	0	0	0.4632079	0.50596339	0	0.000814	0.002377	no
LG11	2250000	2500000	1.978279937	0.037344	LDRs	11	0.14824	0.404264	0.001898635	0.00196126	1.849504909	1.846214756	0.000292881	0.00033917	0.0045854	0.00034038	0.00465395	0.00000343	0.00001057	0.48931414	0.51180794	0	0.000816	0.002269	no
LG11	250000	500000	13.80998387	0.04466	LDRs	11	0.128152	0.38142	0.001538007	0.00129275	1.653877466	0.557399154	0.000224598	0.00030645	0.0037191	0.00023009	0.00296722	0.00000529	0	0.61006854	0.50469866	0	0.000796	0.002111	no
LG11	2500000	2750000	1.978279937	0.042664	LDRs	11	0.084912	0.391268	0.001738585	0.001672192	1.732825031	1.338592807	0.000284567	0.00115921	0.0033362	0.00108293	0.00333078	0.00005261	0.0001235	0.55062311	0.51695034	0	0.000922	0.001897	no
LG11	2750000	3000000	1.978279937	0.042244	LDRs	11	0.043276	0.400296	0.001560703	0.001381549	1.883535942	1.101583959	0.000208888	0.00022564	0.00426658	0.00009281	0.00364526	0	0	0.58243185	0.51505344	0	0.000809	0.00179	no
LG11	3000000	3250000	1.978279937	0.046472	LDRs	11	0.080092	0.39426	0.00134573	0.001246758	1.924515033	1.343741236	0.000211783	0.00024464	0.00265243	0.00023559	0.00233494	0	0	0.56469258	0.51700471	0	0.000772	0.001559	no
LG11	3250000	3500000	1.978279937	0.037412	LDRs	11	0.183992	0.39886	0.00128143	0.001155617	2.189146742	1.520300969	0.000193461	0.0004286	0.00234202	0.0003739	0.00200485	0	0	0.54712593	0.47696507	0	0.000786	0.001421	no
LG11	3500000	3750000	1.978279937	0.03668	LDRs	11	0.087088	0.409244	0.001611637	0.001430023	2.061910264	1.601449965	0.000162291	0.00057866	0.00373341	0.00048171	0.00343513	0.00002262	0.00006852	0.54906332	0.47460362	0	0.000754	0.001715	no
LG11	3750000	4000000	2.04810377792632	0.046584	LDRs	11	0.024536	0.44356	0.001171444	0.0011448	1.716680247	1.587566457	0.000136403	0.00108135	0.00075413	0.00117528	0.00072136	0	0	0.4955704	0.48217799	0.001085	0.000812	0.001336	yes
LG11	4000000	4250000	2.11475954129114	0.1734	LDRs	11	0.037672	0.442844	0.001540218	0.001391087	1.75873155	0.99226127	0.000189219	0.00446007	0.00321076	0.00411897	0.00318151	0.00099203	0.00195165	0.56302644	0.51066658	0.00019	0.001533	0.00203	no
LG11	4250000	4500000	4.79494421065341	0.038932	LDRs	11	0.054404	0.418964	0.001149615	0.00104003	1.368826613	0.538697568	0.000143008	0.00033034	0.0012536	0.00034528	0.00110921	0.00006343	0	0.62853809	0.58245841	0.002432	0.001385	0.001672	yes
LG11	4500000	4750000	11.4411051549153	0.042636	LDRs	11	0.015004	0.403	0.001104348	0.001094457	0.722719357	0.473851527	0.000185339	0.00015418	0.00033594	0.00013937	0.00038946	0.00008681	0	0.63817048	0.63466788	0.0026	0.001419	0.002079	yes
LG11	4750000	5000000	12.3880166289269	0.03942	LDRs	11	0.085376	0.389844	0.000847101	0.001399578	-0.672008582	1.111072538	0.000213315	0.00039985	0.00083164	0.00077022	0.00168377	0.00007901	0.00045947	0.57228748	0.74429406	0.002578	0.001828	0.002253	yes
LG11	500000	750000	13.80998387	0.07166	LDRs	11	0.230708	0.375696	0.001788195	0.001594652	1.433358467	0.641934014	0.000332958	0.00045482	0.003252	0.00045544	0.00294105	0.00002724	0	0.55332214	0.47161955	0	0.001155	0.002193	no
