chr	start	end
LG6	8744194	8744194
LG6	9045097	9045097
LG7	93229	122931
LG7	515702	515702
LG7	1058997	1058997
LG7	1095585	1095585
LG7	1435277	1435431
LG7	1459921	1459921
LG7	1508966	1508966
LG7	1557129	1557129
LG7	1741110	1741186
LG7	1745068	1745068
LG7	1846784	1846784
LG7	2423425	2423425
LG7	3257977	3258283
LG7	3440310	3440310
LG7	3519003	3519196
LG7	3782823	3782823
LG7	3794560	3795023
LG7	4015561	4017218
LG7	4123965	4124171
LG7	4626201	4626201
LG7	5263590	5264191
LG7	5341532	5349251
LG7	5344176	5344176
LG7	5362760	5369058
LG7	5619797	5623776
LG7	6007252	6007252
LG7	6054474	6054695
LG7	6296396	6296396
LG7	7045471	7045540
LG7	7542328	7624869
LG7	7766081	7766081
LG7	7871717	7871717
LG7	8259770	8259770
LG7	8260676	8260676
LG7	8528284	8528284
LG7	8576064	8576064
LG7	8722807	8723388
LG7	9015614	9015614
LG7	9118337	9118337
LG8	974315	974365
LG8	1058896	1059227
LG8	1224506	1224506
LG8	1255705	1255705
LG8	1361426	1361426
LG8	1456164	1456164
LG8	1648049	1651694
LG8	1704053	1721835
LG8	1704510	1704510
LG8	1705473	1705551
LG8	1706322	1709446
LG8	1708100	1709578
LG8	1708851	1721950
LG8	1816708	1816868
LG8	1885673	1885673
LG8	2473913	2473987
LG8	2496289	2496289
LG8	2596609	2596880
LG8	2750660	2750660
LG8	3274265	3274265
LG8	3450967	3450967
LG8	3522514	3522514
LG8	3535177	3535251
LG8	3882112	3882112
LG8	4096675	4096675
LG8	4426842	4448325
LG8	4758905	4758905
LG8	4774229	4848632
LG8	5964533	5964533
LG8	7515578	7515746
LG8	7598831	7598831
LG8	7631927	7631987
LG8	7725156	7725156
LG9	620972	620972
LG9	760032	760032
LG9	838854	845523
LG9	910982	910982
LG9	1845665	1854819
LG9	1846004	1855184
LG9	2009469	2009469
LG9	2044384	2044475
LG9	2490902	2490902
LG9	2844976	2844976
LG9	3328161	3328161
LG9	3531056	3531056
LG9	3599371	3599595
LG9	4374530	4374610
LG9	4428063	4428063
LG9	5069720	5069720
LG9	5328718	5328718
LG9	5678918	5678918
LG9	6474206	6479591
LG9	7223588	7223588
LG10	348043	358258
LG10	1009389	1009530
LG10	1399117	1399117
LG10	1415829	1415829
LG10	1550838	1550913
LG10	1986162	1986162
LG10	2291396	2354548
LG10	2588500	2588500
LG10	2827391	2827391
LG10	2909734	2909734
LG10	3040776	3040852
LG10	3118958	3118958
LG10	3299106	3299106
LG10	3356666	3356666
LG10	3366041	3366041
LG10	3425285	3425514
LG10	3658271	3658327
LG10	4351274	4351274
LG10	4736776	4736776
LG10	5321334	5321387
LG10	5383360	5385282
LG10	5429725	5429788
LG10	5451762	5451762
LG10	5660473	5660692
LG10	5714350	5714413
LG10	5932299	5932890
LG10	6223565	6223565
LG10	6252654	6252774
LG10	6267519	6267519
LG10	6518845	6518845
LG10	6591207	6591207
LG10	6674705	6674705
LG10	6759328	6759328
LG10	6762883	6766560
LG10	6764075	6765072
LG10	6781603	6782218
LG10	6783243	6783655
LG10	6822596	6822596
LG11	103104	189203
LG11	132079	134915
LG11	474525	474525
LG11	684230	684230
LG11	1139540	1139631
LG11	1399172	1399172
LG11	1497075	1497075
LG11	1583119	1583119
LG11	2019174	2019375
LG11	2346037	2346037
LG11	2943830	3023892
LG11	2944030	3024148
LG11	3052721	3052721
LG11	3110317	3110371
LG11	3178314	3178314
LG11	3210736	3210854
LG11	3406424	3406424
LG11	3837877	3837877
LG11	4029324	4029324
LG11	4133784	4133784
LG11	4152796	4153382
LG11	5149083	5149083
LG11	5449462	5529717
LG11	5978008	6023380
LG11	6119284	6119354
LG11	6214798	6214798
LG11	6242904	6242957
LG11	6333600	6335153
LG11	6529560	6530360
LG11	7083550	7083550
LG12	11963	11963
LG12	1125838	1125838
LG12	1201257	1201257
LG12	1512256	1512256
LG12	2128199	2128199
LG12	2205824	2205824
LG12	2231505	2231505
LG12	2606844	2607869
LG12	2736020	2736020
LG12	2842109	2842109
LG12	2861195	2861195
LG12	2954824	2954824
LG12	3155741	3155741
LG12	4670970	4671443
LG12	4875001	4875053
LG12	5047591	5047591
LG12	5123610	5123610
LG12	5212624	5212752
LG12	5691205	5691205
LG12	5966822	5966934
LG12	6016644	6016644
LG12	6216085	6216085
LG13	503028	503028
LG13	556013	556080
LG13	582387	582387
LG13	718538	719389
LG13	740403	740455
LG13	744047	744047
LG13	1461432	1461432
LG13	1522959	1522959
LG13	1690024	1690024
LG13	1927749	1927749
LG13	2234003	2234003
LG13	2418168	2418168
LG13	2782595	2782595
LG13	2883301	2883301
LG13	3116674	3116751
LG13	3381472	3381472
LG13	3550750	3550750
LG13	3701604	3701604
LG13	3811435	3811435
LG13	3934140	3934140
LG13	3987810	3988486
LG13	4005052	4005052
LG13	4166190	4166190
LG13	4379818	4379962
LG13	4419807	4426128
LG13	4419813	4426127
LG13	4456103	4456103
LG13	4760161	4760254
LG13	4863356	4864152
LG13	4921013	4921560
LG13	5519365	5519365
LG13	5613475	5613475
LG14	243347	243432
LG14	311111	311111
LG14	328657	328657
LG14	513034	513127
LG14	1671542	1671542
LG14	1878555	1878661
LG14	2412365	2412563
LG14	2561607	2562086
LG14	2858226	2858226
LG14	2906421	2906834
LG14	2914416	2914416
LG14	3016222	3016222
LG14	3343288	3343288
LG14	3628120	3628120
LG14	3700129	3700129
LG14	3825419	3832598
LG14	3921284	3922132
LG14	5084502	5089069
LG14	5309576	5309953
LG14	5386220	5386220
LG14	5728025	5728025
LG14	5757728	5757728
LG15	49896	50471
LG15	373375	373375
LG15	433564	434007
LG15	515186	545402
LG15	538126	538126
LG15	746650	746650
LG15	769579	769645
LG15	951686	951686
LG15	1495541	1495541
LG15	1587550	1587550
LG15	1740300	1740300
LG15	1927463	1927463
LG15	1961062	1961062
LG15	2248191	2248191
LG15	3996769	3996769
LG15	4595865	4601070
LG15	4599048	4600570
LG16	210567	210567
LG16	212316	212316
LG16	535471	535471
LG16	944238	944316
LG16	1213999	1224828
LG16	1214447	1220328
LG16	1215226	1215226
LG16	1219813	1223886
LG16	1256098	1257750
LG16	1256265	1257460
LG16	1257031	1257455
LG16	1402376	1402376
LG16	1552875	1552875
LG16	1667763	1667763
LG16	1781418	1781534
LG16	1799955	1800030
LG16	2295920	2355620
LG16	2468118	2468181
LG16	3032176	3032256
LG16	3054436	3054436
LG16	3230804	3230804
LG16	3350047	3350481
LG16	3673999	3674092
LG16	3832346	3832612
LG16	3838799	3838799
LG16	3854700	3854700
LG16	3968656	3968656
LG16	4173405	4173405
LG16	4373158	4373158
LG16	4422401	4422401
LG16	4445658	4445658
LG16	4496135	4497457
LG16	4909487	4912695
LG17	547356	547356
LG17	577622	577622
LG17	1097068	1098112
LG17	1098875	1101524
LG17	1108794	1108794
LG17	1241762	1241762
LG17	1422531	1422531
LG17	1574854	1574985
LG17	1685950	1685950
LG17	2159530	2159530
LG17	2200895	2287164
LG17	2513619	2513619
LG17	2541158	2541248
LG17	3125834	3125932
LG17	3752737	3752737
LG17	4103394	4103394
LG17	4591624	4591624
LG17	4592500	4593354
LG17	4609129	4609645
LG17	4609830	4613753
LG17	4614072	4615606
LG17	4620645	4620645
LG17	4623041	4623041
LG17	4674184	4682339
LG17	4749346	4816941
LG17	4825964	4827759
LG17	4974619	4978899
LG18	277517	277517
LG18	858480	858480
LG18	1236178	1236178
LG18	2105850	2105923
LG18	2440453	2440453
LG18	2486394	2486394
LG18	2799235	2799235
LG18	3042319	3042319
LG18	4710730	4711395
LG18	4744352	4744352
LG18	5189704	5189704
LG19	127268	127268
LG19	174294	174294
LG19	322670	322670
LG19	799556	799556
LG19	835607	835607
LG19	1239729	1239729
LG19	1345958	1346390
LG19	1415977	1415977
LG19	1536589	1536589
LG19	1575672	1575879
LG19	1894087	1894087
LG19	2236677	2270597
LG19	2532737	2533342
LG19	2751260	2751260
LG19	2883676	2892745
LG19	2934200	2936674
LG19	2934453	2934453
LG19	2935918	2936667
LG19	4092221	4105732
LG19	4266249	4266330
LG19	4422905	4422905
LG19	4512888	4512956
LG19	4630804	4631524
LG20	153824	162043
LG20	209982	215049
LG20	708526	708526
LG20	742188	743100
LG20	920329	920400
LG20	1626643	1626643
LG20	2070371	2070423
LG20	2313271	2313271
LG20	2582732	2659585
LG20	2747816	2747816
LG20	2838197	2838270
LG20	2894983	2946909
LG20	2907827	2907827
LG20	2943884	2947945
LG20	2944875	2947932
LG20	2945117	2950975
LG20	2951163	2958389
LG20	2959208	2959766
LG20	3058355	3058424
LG20	3328783	3329277
LG20	3376990	3376990
LG20	3770731	3789766
LG20	3788383	3842567
LG20	4334656	4335119
LG20	4344409	4344409
LG20	4538422	4538422
LG20	4704315	4704388
LG20	4790835	4790835
LG21	1146535	1146535
LG21	1410694	1411159
LG21	1431081	1432295
LG21	1913912	1955699
LG21	1914523	1956411
LG21	2268029	2268098
LG22	815623	815623
LG22	915617	915617
LG22	1185616	1186264
LG22	1215443	1216254
LG22	1375720	1404683
LG22	1513661	1513661
LG22	1575355	1575355
LG22	1915389	1915389
LG22	1922468	1922468
LG22	2106433	2106433
LG22	2241063	2241063
LG22	2503648	2503648
LG22	2529572	2530445
LG22	3233037	3233037
LG22	3305178	3305178
LG22	3704608	3704608
LG22	3732689	3732689
LG22	4078621	4078621
LG22	4162997	4162997
LG22	4206392	4206392
LG22	4216367	4216483
LG23	182658	183316
LG23	797625	797625
LG23	908082	908082
LG23	1393301	1393301
LG23	1504123	1504123
LG23	2156186	2156865
LG23	2157458	2160932
LG23	2158056	2159909
LG23	2390731	2390731
LG23	2568318	2568318
LG23	2608293	2608390
LG23	3168217	3168217
LG23	3288971	3288971
LG23	3478186	3478186
LG23	3652605	3652605
LG23	3740688	3740688
LG23	3772271	3772334
LG23	3781337	3781401
LG24	282720	282720
LG24	346017	346199
LG24	457000	457000
LG24	482117	482117
LG24	1231280	1231280
LG24	1932279	2003966
LG24	1932522	2004730
LG24	1953992	1954636
LG24	1956222	1956222
LG24	1960205	1960505
LG24	2000391	2003814
LG24	2000637	2003212
LG24	2029147	2029614
LG24	2029925	2029983
LG24	2306724	2306724
LG24	2337966	2337966
LG24	2430091	2430091
LG24	2438450	2438450
LG24	2440614	2440614
LG24	2592357	2593329
LG24	2632824	2633616
LG24	3129943	3138035
LG24	3130461	3138024
LG24	3522715	3529763
LG25	92611	92611
LG25	250142	250142
LG25	426997	426997
LG25	793352	793778
LG25	795320	795619
LG25	1624009	1624066
LG25	2008939	2008939
LG25	2316640	2316640
LG25	3025100	3025330
LG26	261169	261169
LG26	356200	356280
LG26	535627	536922
LG26	770432	770509
LG26	807631	807631
LG26	1638681	1639927
LG26	1714672	1714672
LG26	1772450	1772508
LG26	2013843	2013843
LG27	522620	524824
LG27	591781	592059
LG27	656194	656194
LG27	822617	822617
LG27	877369	877369
LG27	1030889	1030889
LG27	1150159	1150645
LG27	1150357	1150608
LG27	1183123	1183123
LG27	1183862	1183862
LG27	1364947	1366518
LG27	1387107	1387338
LG27	1451773	1451773
LG27	1551443	1551443
LG27	1586643	1586643
LG27	1587765	1587765
LG28	463112	463112
LG28	503478	503535
LG28	1598239	1598643
LG29	428959	428959
LG29	471592	471592
LG29	926516	926570
